DotNotation,StandardDescription
CCSS.Math.Content.1.OA.D.7,"Understand the meaning of the equal sign, and determine if equations involving addition and subtraction are true or false."
CCSS.Math.Content.1.OA.D.8,Determine the unknown whole number in an addition or subtraction equation relating three whole numbers.
CCSS.Math.Content.2.G.A,Reason with shapes and their attributes.
CCSS.Math.Content.2.G.A.1,"Recognize and draw shapes having specified attributes, such as a given number of angles or a given number of equal faces. Identify triangles, quadrilaterals, pentagons, hexagons, and cubes."
CCSS.Math.Content.2.G.A.2,Partition a rectangle into rows and columns of same-size squares and count to find the total number of them.
CCSS.Math.Content.2.G.A.3,"Partition circles and rectangles into two, three, or four equal shares, describe the shares using the words halves, thirds, half of, a third of, etc., and describe the whole as two halves, three thirds, four fourths. Recognize that equal shares of identic"
CCSS.Math.Content.2.MD.A,Measure and estimate lengths in standard units.
CCSS.Math.Content.2.MD.A.1,"Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes."
CCSS.Math.Content.2.MD.A.2,"Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen."
CCSS.Math.Content.2.MD.A.3,"Estimate lengths using units of inches, feet, centimeters, and meters."
CCSS.Math.Content.2.MD.A.4,"Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit."
CCSS.Math.Content.2.MD.B,Relate addition and subtraction to length.
CCSS.Math.Content.2.MD.B.5,"Use addition and subtraction within 100 to solve word problems involving lengths that are given in the same units, e.g., by using drawings (such as drawings of rulers) and equations with a symbol for the unknown number to represent the problem."
CCSS.Math.Content.2.MD.B.6,"Represent whole numbers as lengths from 0 on a number line diagram with equally spaced points corresponding to the numbers 0, 1, 2, ..., and represent whole-number sums and differences within 100 on a number line diagram."
CCSS.Math.Content.2.MD.C,Work with time and money.
CCSS.Math.Content.2.MD.C.7,"Tell and write time from analog and digital clocks to the nearest five minutes, using a.m. and p.m."
CCSS.Math.Content.2.MD.C.8,"Solve word problems involving dollar bills, quarters, dimes, nickels, and pennies, using $ and ?? symbols appropriately."
CCSS.Math.Content.2.MD.D,Represent and interpret data.
CCSS.Math.Content.2.MD.D.10,"Draw a picture graph and a bar graph (with single-unit scale) to represent a data set with up to four categories. Solve simple put-together, take-apart, and compare problems using information presented in a bar graph."
CCSS.Math.Content.2.MD.D.9,"Generate measurement data by measuring lengths of several objects to the nearest whole unit, or by making repeated measurements of the same object. Show the measurements by making a line plot, where the horizontal scale is marked off in whole-number units"
CCSS.Math.Content.2.NBT.A,Understand place value.
CCSS.Math.Content.2.NBT.A.1,"Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; e.g., 706 equals 7 hundreds, 0 tens, and 6 ones. Understand the following as special cases:"
CCSS.Math.Content.2.NBT.A.1a,"100 can be thought of as a bundle of ten tens ??? called a ""hundred."""
CCSS.Math.Content.2.NBT.A.1b,"The numbers 100, 200, 300, 400, 500, 600, 700, 800, 900 refer to one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones)."
CCSS.Math.Content.2.NBT.A.2,"Count within 1000; skip-count by 5s, 10s, and 100s."
CCSS.Math.Content.2.NBT.A.3,"Read and write numbers to 1000 using base-ten numerals, number names, and expanded form."
CCSS.Math.Content.2.NBT.A.4,"Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using &gt;, =, and &lt; symbols to record the results of comparisons."
CCSS.Math.Content.2.NBT.B,Use place value understanding and properties of operations to add and subtract.
CCSS.Math.Content.2.NBT.B.5,"Fluently add and subtract within 100 using strategies based on place value, properties of operations, and/or the relationship between addition and subtraction."
CCSS.Math.Content.2.NBT.B.6,Add up to four two-digit numbers using strategies based on place value and properties of operations.
CCSS.Math.Content.2.NBT.B.7,"Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method. Understand that in adding or "
CCSS.Math.Content.2.NBT.B.8,"Mentally add 10 or 100 to a given number 100???900, and mentally subtract 10 or 100 from a given number 100???900."
CCSS.Math.Content.2.NBT.B.9,"Explain why addition and subtraction strategies work, using place value and the properties of operations."
CCSS.Math.Content.2.OA.A,Represent and solve problems involving addition and subtraction.
CCSS.Math.Content.2.OA.A.1,"Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions, e.g., by using drawings and equations with a sy"
CCSS.Math.Content.2.OA.B,Add and subtract within 20.
CCSS.Math.Content.2.OA.B.2,"Fluently add and subtract within 20 using mental strategies. By end of Grade 2, know from memory all sums of two one-digit numbers."
CCSS.Math.Content.2.OA.C,Work with equal groups of objects to gain foundations for multiplication.
CCSS.Math.Content.2.OA.C.3,"Determine whether a group of objects (up to 20) has an odd or even number of members, e.g., by pairing objects or counting them by 2s; write an equation to express an even number as a sum of two equal addends."
CCSS.Math.Content.2.OA.C.4,Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.
CCSS.Math.Content.3.G.A,Reason with shapes and their attributes.
CCSS.Math.Content.3.G.A.1,"Understand that shapes in different categories (e.g., rhombuses, rectangles, and others) may share attributes (e.g., having four sides), and that the shared attributes can define a larger category (e.g., quadrilaterals). Recognize rhombuses, rectangles, a"
CCSS.Math.Content.3.G.A.2,Partition shapes into parts with equal areas. Express the area of each part as a unit fraction of the whole.
CCSS.Math.Content.3.MD.A,"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects."
CCSS.Math.Content.3.MD.A.1,"Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes, e.g., by representing the problem on a number line diagram."
CCSS.Math.Content.3.MD.A.2,"Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms (kg), and liters (l). Add, subtract, multiply, or divide to solve one-step word problems involving masses or volumes that are given in the same units, e"
CCSS.Math.Content.3.MD.B,Represent and interpret data.
CCSS.Math.Content.3.MD.B.3,"Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step ""how many more"" and ""how many less"" problems using information presented in scaled bar graphs."
CCSS.Math.Content.3.MD.B.4,"Generate measurement data by measuring lengths using rulers marked with halves and fourths of an inch. Show the data by making a line plot, where the horizontal scale is marked off in appropriate units??? whole numbers, halves, or quarters."
CCSS.Math.Content.3.MD.C,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.
CCSS.Math.Content.3.MD.C.5,Recognize area as an attribute of plane figures and understand concepts of area measurement.
CCSS.Math.Content.3.MD.C.5a,"A square with side length 1 unit, called ""a unit square,"" is said to have ""one square unit"" of area, and can be used to measure area."
CCSS.Math.Content.3.MD.C.5b,A plane figure which can be covered without gaps or overlaps by n unit squares is said to have an area of n square units.
CCSS.Math.Content.3.MD.C.6,"Measure areas by counting unit squares (square cm, square m, square in, square ft, and improvised units)."
CCSS.Math.Content.3.MD.C.7,Relate area to the operations of multiplication and addition.
CCSS.Math.Content.3.MD.C.7a,"Find the area of a rectangle with whole-number side lengths by tiling it, and show that the area is the same as would be found by multiplying the side lengths."
CCSS.Math.Content.3.MD.C.7b,"Multiply side lengths to find areas of rectangles with whole-number side lengths in the context of solving real world and mathematical problems, and represent whole-number products as rectangular areas in mathematical reasoning."
CCSS.Math.Content.3.MD.C.7c,Use tiling to show in a concrete case that the area of a rectangle with whole-number side lengths a and b + c is the sum of a ?? b and a ?? c. Use area models to represent the distributive property in mathematical reasoning.
CCSS.Math.Content.3.MD.C.7d,"Recognize area as additive. Find areas of rectilinear figures by decomposing them into non-overlapping rectangles and adding the areas of the non-overlapping parts, applying this technique to solve real world problems."
CCSS.Math.Content.3.MD.D,Geometric measurement: recognize perimeter as an attribute of plane figures and distinguish between linear and area measures.
CCSS.Math.Content.3.MD.D.8,"Solve real world and mathematical problems involving perimeters of polygons, including finding the perimeter given the side lengths, finding an unknown side length, and exhibiting rectangles with the same perimeter and different areas or with the same are"
CCSS.Math.Content.3.NBT.A,Use place value understanding and properties of operations to perform multi-digit arithmetic.
CCSS.Math.Content.3.NBT.A.1,Use place value understanding to round whole numbers to the nearest 10 or 100.
CCSS.Math.Content.3.NBT.A.2,"Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction."
CCSS.Math.Content.3.NBT.A.3,"Multiply one-digit whole numbers by multiples of 10 in the range 10???90 (e.g., 9 ?? 80, 5 ?? 60) using strategies based on place value and properties of operations."
CCSS.Math.Content.3.NF.A,Develop understanding of fractions as numbers.
CCSS.Math.Content.3.NF.A.1,Understand a fraction 1/b as the quantity formed by 1 part when a whole is partitioned into b equal parts; understand a fraction a/b as the quantity formed by a parts of size 1/b.
CCSS.Math.Content.3.NF.A.2,Understand a fraction as a number on the number line; represent fractions on a number line diagram.
CCSS.Math.Content.3.NF.A.2a,Represent a fraction 1/b on a number line diagram by defining the interval from 0 to 1 as the whole and partitioning it into b equal parts. Recognize that each part has size 1/b and that the endpoint of the part based at 0 locates the number 1/b on the nu
CCSS.Math.Content.3.NF.A.2b,Represent a fraction a/b on a number line diagram by marking off a lengths 1/b from 0. Recognize that the resulting interval has size a/b and that its endpoint locates the number a/b on the number line.
CCSS.Math.Content.3.NF.A.3,"Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size."
CCSS.Math.Content.3.NF.A.3a,"Understand two fractions as equivalent (equal) if they are the same size, or the same point on a number line."
CCSS.Math.Content.3.NF.A.3b,"Recognize and generate simple equivalent fractions, e.g., 1/2 = 2/4, 4/6 = 2/3). Explain why the fractions are equivalent, e.g., by using a visual fraction model."
CCSS.Math.Content.3.NF.A.3c,"Express whole numbers as fractions, and recognize fractions that are equivalent to whole numbers."
CCSS.Math.Content.3.NF.A.3d,"Compare two fractions with the same numerator or the same denominator by reasoning about their size. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with the symbols &gt;, =, or &"
CCSS.Math.Content.3.OA.A,Represent and solve problems involving multiplication and division.
CCSS.Math.Content.3.OA.A.1,"Interpret products of whole numbers, e.g., interpret 5 ?? 7 as the total number of objects in 5 groups of 7 objects each."
CCSS.Math.Content.3.OA.A.2,"Interpret whole-number quotients of whole numbers, e.g., interpret 56 ?? 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 object"
CCSS.Math.Content.3.OA.A.3,"Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem."
CCSS.Math.Content.3.OA.A.4,Determine the unknown whole number in a multiplication or division equation relating three whole numbers.
CCSS.Math.Content.3.OA.B,Understand properties of multiplication and the relationship between multiplication and division.
CCSS.Math.Content.3.OA.B.5,Apply properties of operations as strategies to multiply and divide.
CCSS.Math.Content.3.OA.B.6,Understand division as an unknown-factor problem.
CCSS.Math.Content.3.OA.C,Multiply and divide within 100.
CCSS.Math.Content.3.OA.C.7,"Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division (e.g., knowing that 8 ?? 5 = 40, one knows 40 ?? 5 = 8) or properties of operations. By the end of Grade 3, know from memory all product"
CCSS.Math.Content.3.OA.D,"Solve problems involving the four operations, and identify and explain patterns in arithmetic."
CCSS.Math.Content.3.OA.D.8,Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.
CCSS.Math.Content.3.OA.D.9,"Identify arithmetic patterns (including patterns in the addition table or multiplication table), and explain them using properties of operations."
CCSS.Math.Content.4.G.A,"Draw and identify lines and angles, and classify shapes by properties of their lines and angles."
CCSS.Math.Content.4.G.A.1,"Draw points, lines, line segments, rays, angles (right, acute, obtuse), and perpendicular and parallel lines. Identify these in two-dimensional figures."
CCSS.Math.Content.4.G.A.2,"Classify two-dimensional figures based on the presence or absence of parallel or perpendicular lines, or the presence or absence of angles of a specified size. Recognize right triangles as a category, and identify right triangles."
CCSS.Math.Content.4.G.A.3,Recognize a line of symmetry for a two-dimensional figure as a line across the figure such that the figure can be folded along the line into matching parts. Identify line-symmetric figures and draw lines of symmetry.
CCSS.Math.Content.4.MD.A,Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit.
CCSS.Math.Content.4.MD.A.1,"Know relative sizes of measurement units within one system of units including km, m, cm; kg, g; lb, oz.; l, ml; hr, min, sec. Within a single system of measurement, express measurements in a larger unit in terms of a smaller unit. Record measurement equiv"
CCSS.Math.Content.4.MD.A.2,"Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, and money, including problems involving simple fractions or decimals, and problems that require expressing measurements given in a la"
CCSS.Math.Content.4.MD.A.3,Apply the area and perimeter formulas for rectangles in real world and mathematical problems.
CCSS.Math.Content.4.MD.B,Represent and interpret data.
CCSS.Math.Content.4.MD.B.4,"Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Solve problems involving addition and subtraction of fractions by using information presented in line plots."
CCSS.Math.Content.4.MD.C,Geometric measurement: understand concepts of angle and measure angles.
CCSS.Math.Content.4.MD.C.5,"Recognize angles as geometric shapes that are formed wherever two rays share a common endpoint, and understand concepts of angle measurement:"
CCSS.Math.Content.4.MD.C.5a,"An angle is measured with reference to a circle with its center at the common endpoint of the rays, by considering the fraction of the circular arc between the points where the two rays intersect the circle. An angle that turns through 1/360 of a circle i"
CCSS.Math.Content.4.MD.C.5b,An angle that turns through n one-degree angles is said to have an angle measure of n degrees.
CCSS.Math.Content.4.MD.C.6,Measure angles in whole-number degrees using a protractor. Sketch angles of specified measure.
CCSS.Math.Content.4.MD.C.7,"Recognize angle measure as additive. When an angle is decomposed into non-overlapping parts, the angle measure of the whole is the sum of the angle measures of the parts. Solve addition and subtraction problems to find unknown angles on a diagram in real "
CCSS.Math.Content.4.NBT.A,Generalize place value understanding for multi-digit whole numbers.
CCSS.Math.Content.4.NBT.A.1,"Recognize that in a multi-digit whole number, a digit in one place represents ten times what it represents in the place to its right."
CCSS.Math.Content.4.NBT.A.2,"Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using &gt;, =, and &lt; symbols to record the results of comparisons."
CCSS.Math.Content.4.NBT.A.3,Use place value understanding to round multi-digit whole numbers to any place.
CCSS.Math.Content.4.NBT.B,Use place value understanding and properties of operations to perform multi-digit arithmetic.
CCSS.Math.Content.4.NBT.B.4,Fluently add and subtract multi-digit whole numbers using the standard algorithm.
CCSS.Math.Content.4.NBT.B.5,"Multiply a whole number of up to four digits by a one-digit whole number, and multiply two two-digit numbers, using strategies based on place value and the properties of operations. Illustrate and explain the calculation by using equations, rectangular ar"
CCSS.Math.Content.4.NBT.B.6,"Find whole-number quotients and remainders with up to four-digit dividends and one-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the"
CCSS.Math.Content.4.NF.A,Extend understanding of fraction equivalence and ordering.
CCSS.Math.Content.4.NF.A.1,"Explain why a fraction a/b is equivalent to a fraction (n ?? a)/(n ?? b) by using visual fraction models, with attention to how the number and size of the parts differ even though the two fractions themselves are the same size. Use this principle to recog"
CCSS.Math.Content.4.NF.A.2,"Compare two fractions with different numerators and different denominators, e.g., by creating common denominators or numerators, or by comparing to a benchmark fraction such as 1/2. Recognize that comparisons are valid only when the two fractions refer to"
CCSS.Math.Content.4.NF.B,Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.
CCSS.Math.Content.4.NF.B.3,Understand a fraction a/b with a &gt; 1 as a sum of fractions 1/b.
CCSS.Math.Content.4.NF.B.3a,Understand addition and subtraction of fractions as joining and separating parts referring to the same whole.
CCSS.Math.Content.4.NF.B.3b,"Decompose a fraction into a sum of fractions with the same denominator in more than one way, recording each decomposition by an equation. Justify decompositions, e.g., by using a visual fraction model."
CCSS.Math.Content.4.NF.B.3c,"Add and subtract mixed numbers with like denominators, e.g., by replacing each mixed number with an equivalent fraction, and/or by using properties of operations and the relationship between addition and subtraction."
CCSS.Math.Content.4.NF.B.3d,"Solve word problems involving addition and subtraction of fractions referring to the same whole and having like denominators, e.g., by using visual fraction models and equations to represent the problem."
CCSS.Math.Content.4.NF.B.4,Apply and extend previous understandings of multiplication to multiply a fraction by a whole number.
CCSS.Math.Content.4.NF.B.4a,Understand a fraction a/b as a multiple of 1/b.
CCSS.Math.Content.4.NF.B.4b,"Understand a multiple of a/b as a multiple of 1/b, and use this understanding to multiply a fraction by a whole number."
CCSS.Math.Content.4.NF.B.4c,"Solve word problems involving multiplication of a fraction by a whole number, e.g., by using visual fraction models and equations to represent the problem."
CCSS.Math.Content.4.NF.C,"Understand decimal notation for fractions, and compare decimal fractions."
CCSS.Math.Content.4.NF.C.5,"Express a fraction with denominator 10 as an equivalent fraction with denominator 100, and use this technique to add two fractions with respective denominators 10 and 100."
CCSS.Math.Content.4.NF.C.6,Use decimal notation for fractions with denominators 10 or 100.
CCSS.Math.Content.4.NF.C.7,"Compare two decimals to hundredths by reasoning about their size. Recognize that comparisons are valid only when the two decimals refer to the same whole. Record the results of comparisons with the symbols &gt;, =, or &lt;, and justify the conclusions, e."
CCSS.Math.Content.4.OA.A,Use the four operations with whole numbers to solve problems.
CCSS.Math.Content.4.OA.A.1,"Interpret a multiplication equation as a comparison, e.g., interpret 35 = 5 ?? 7 as a statement that 35 is 5 times as many as 7 and 7 times as many as 5. Represent verbal statements of multiplicative comparisons as multiplication equations."
CCSS.Math.Content.4.OA.A.2,"Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison."
CCSS.Math.Content.4.OA.A.3,"Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown q"
CCSS.Math.Content.4.OA.B,Gain familiarity with factors and multiples.
CCSS.Math.Content.4.OA.B.4,Find all factor pairs for a whole number in the range 1???100. Recognize that a whole number is a multiple of each of its factors. Determine whether a given whole number in the range 1???100 is a multiple of a given one-digit number. Determine whether a g
CCSS.Math.Content.4.OA.C,Generate and analyze patterns.
CCSS.Math.Content.4.OA.C.5,Generate a number or shape pattern that follows a given rule. Identify apparent features of the pattern that were not explicit in the rule itself.
CCSS.Math.Content.5.G.A,Graph points on the coordinate plane to solve real-world and mathematical problems.
CCSS.Math.Content.5.G.A.1,"Use a pair of perpendicular number lines, called axes, to define a coordinate system, with the intersection of the lines (the origin) arranged to coincide with the 0 on each line and a given point in the plane located by using an ordered pair of numbers, "
CCSS.Math.Content.5.G.A.2,"Represent real world and mathematical problems by graphing points in the first quadrant of the coordinate plane, and interpret coordinate values of points in the context of the situation."
CCSS.Math.Content.5.G.B,Classify two-dimensional figures into categories based on their properties.
CCSS.Math.Content.5.G.B.3,Understand that attributes belonging to a category of two-dimensional figures also belong to all subcategories of that category.
CCSS.Math.Content.5.G.B.4,Classify two-dimensional figures in a hierarchy based on properties.
CCSS.Math.Content.5.MD.A,Convert like measurement units within a given measurement system.
CCSS.Math.Content.5.MD.A.1,"Convert among different-sized standard measurement units within a given measurement system (e.g., convert 5 cm to 0.05 m), and use these conversions in solving multi-step, real world problems."
CCSS.Math.Content.5.MD.B.2,Represent and interpret data.
CCSS.Math.Content.5.MD.B.2,"Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Use operations on fractions for this grade to solve problems involving information presented in line plots."
CCSS.Math.Content.5.MD.C,Geometric measurement: understand concepts of volume and relate volume to multiplication and to addition.
CCSS.Math.Content.5.MD.C.3,Recognize volume as an attribute of solid figures and understand concepts of volume measurement.
CCSS.Math.Content.5.MD.C.3a,"A cube with side length 1 unit, called a ""unit cube,"" is said to have ""one cubic unit"" of volume, and can be used to measure volume."
CCSS.Math.Content.5.MD.C.3b,A solid figure which can be packed without gaps or overlaps using n unit cubes is said to have a volume of n cubic units.
CCSS.Math.Content.5.MD.C.4,"Measure volumes by counting unit cubes, using cubic cm, cubic in, cubic ft, and improvised units."
CCSS.Math.Content.5.MD.C.5,Relate volume to the operations of multiplication and addition and solve real world and mathematical problems involving volume.
CCSS.Math.Content.5.MD.C.5a,"Find the volume of a right rectangular prism with whole-number side lengths by packing it with unit cubes, and show that the volume is the same as would be found by multiplying the edge lengths, equivalently by multiplying the height by the area of the ba"
CCSS.Math.Content.5.MD.C.5b,Apply the formulas V = l ?? w ?? h and V = b ?? h for rectangular prisms to find volumes of right rectangular prisms with whole-number edge lengths in the context of solving real world and mathematical problems.
CCSS.Math.Content.5.MD.C.5c,"Recognize volume as additive. Find volumes of solid figures composed of two non-overlapping right rectangular prisms by adding the volumes of the non-overlapping parts, applying this technique to solve real world problems."
CCSS.Math.Content.5.NBT.A,Understand the place value system.
CCSS.Math.Content.5.NBT.A.1,"Recognize that in a multi-digit number, a digit in one place represents 10 times as much as it represents in the place to its right and 1/10 of what it represents in the place to its left."
CCSS.Math.Content.5.NBT.A.2,"Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole-number exponents to denote pow"
CCSS.Math.Content.5.NBT.A.3,"Read, write, and compare decimals to thousandths."
CCSS.Math.Content.5.NBT.A.3a,"Read and write decimals to thousandths using base-ten numerals, number names, and expanded form, e.g., 347.392 = 3 ?? 100 + 4 ?? 10 + 7 ?? 1 + 3 ?? (1/10) + 9 ?? (1/100) + 2 ?? (1/1000)."
CCSS.Math.Content.5.NBT.A.3b,"Compare two decimals to thousandths based on meanings of the digits in each place, using &gt;, =, and &lt; symbols to record the results of comparisons."
CCSS.Math.Content.5.NBT.A.4,Use place value understanding to round decimals to any place.
CCSS.Math.Content.5.NBT.B,Perform operations with multi-digit whole numbers and with decimals to hundredths.
CCSS.Math.Content.5.NBT.B.5,Fluently multiply multi-digit whole numbers using the standard algorithm.
CCSS.Math.Content.5.NBT.B.6,"Find whole-number quotients of whole numbers with up to four-digit dividends and two-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain t"
CCSS.Math.Content.5.NBT.B.7,"Add, subtract, multiply, and divide decimals to hundredths, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method "
CCSS.Math.Content.5.NF.A,Use equivalent fractions as a strategy to add and subtract fractions.
CCSS.Math.Content.5.NF.A.1,Add and subtract fractions with unlike denominators (including mixed numbers) by replacing given fractions with equivalent fractions in such a way as to produce an equivalent sum or difference of fractions with like denominators.
CCSS.Math.Content.5.NF.A.2,"Solve word problems involving addition and subtraction of fractions referring to the same whole, including cases of unlike denominators, e.g., by using visual fraction models or equations to represent the problem. Use benchmark fractions and number sense "
CCSS.Math.Content.5.NF.B,Apply and extend previous understandings of multiplication and division to multiply and divide fractions.
CCSS.Math.Content.5.NF.B.3,"Interpret a fraction as division of the numerator by the denominator (a/b = a ?? b). Solve word problems involving division of whole numbers leading to answers in the form of fractions or mixed numbers, e.g., by using visual fraction models or equations t"
CCSS.Math.Content.5.NF.B.4,Apply and extend previous understandings of multiplication to multiply a fraction or whole number by a fraction.
CCSS.Math.Content.5.NF.B.4a,"Interpret the product (a/b) ?? q as a parts of a partition of q into b equal parts; equivalently, as the result of a sequence of operations a ?? q ?? b."
CCSS.Math.Content.5.NF.B.4b,"Find the area of a rectangle with fractional side lengths by tiling it with unit squares of the appropriate unit fraction side lengths, and show that the area is the same as would be found by multiplying the side lengths. Multiply fractional side lengths "
CCSS.Math.Content.5.NF.B.5,"Interpret multiplication as scaling (resizing), by:"
CCSS.Math.Content.5.NF.B.5a,"Comparing the size of a product to the size of one factor on the basis of the size of the other factor, without performing the indicated multiplication."
